Fund Name,All-time Return (%),Index All-time Return (%),All-time Annualized Return (%),Index All-time Annualized Return (%),Excess Return (%),Duration (Days),3M Fund Return (%),6M Fund Return (%),1Y Fund Return (%),2Y Fund Return (%),3Y Fund Return (%),4Y Fund Return (%),5Y Fund Return (%)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sundaram Small Cap Fund Direct Plan - Growth,142.07411506290975,-2.94548601096049,114.05312737577296,-2.540874239458113,116.59400161523108,424.0,4.73537767111328,23.758579587696797,107.02936983834756,,,,
DSP Small Cap Fund - Direct Plan - Growth,126.79255918827508,-2.94548601096049,102.36840953873734,-2.540874239458113,104.90928377819546,424.0,8.231781131466374,25.16877702765764,99.18312787761766,,,,
UTI-Transpotation and Logistics  Fund-Growth Option- Direct,125.14366224754465,-2.94548601096049,101.10118178097322,-2.540874239458113,103.64205602043134,424.0,4.05486001078534,14.88454254031383,84.80428430680236,,,,
Franklin Build India Fund - Direct - Growth,118.46569792015858,-2.94548601096049,95.95563474046757,-2.540874239458113,98.4965089799257,424.0,5.879132716670728,24.737030441222974,86.81094756783031,,,,
SBI Small Cap Fund - Direct Plan - Growth,115.60278996611765,-2.94548601096049,93.74301559026132,-2.540874239458113,96.28388982971944,424.0,0.43240985469933485,20.727872846548305,92.03003384371668,,,,
Aditya Birla Sun Life MNC Fund - Growth - Direct Plan,114.09723740797438,-2.94548601096049,92.5778004538014,-2.540874239458113,95.11867469325952,424.0,15.331304603906945,36.89410887397466,89.28306750443048,,,,
Invesco India Infrastructure Fund - Direct Plan - Growth Option,114.02002861230329,-2.94548601096049,92.51801440630531,-2.540874239458113,95.05888864576343,424.0,8.879184861717619,20.160642570281137,78.73357228195941,,,,
Tata Mid Cap Growth Fund - Direct Plan- Growth Option,109.74924214914665,-2.94548601096049,89.20625344437715,-2.540874239458113,91.74712768383527,424.0,9.657819163553304,24.117548593740544,84.63028663359606,,,,
Tata Mid Cap Growth Fund - Direct Plan- IDCW Option,109.7051500044746,-2.94548601096049,89.17201376654111,-2.540874239458113,91.71288800599923,424.0,9.647461657877049,24.164822491662257,84.58993452483004,,,,
Kotak Emerging Equity Scheme - Growth - Direct,108.821887213847,-2.94548601096049,88.48590623314465,-2.540874239458113,91.02678047260277,424.0,4.959307220462648,22.03990303934364,84.96538081107813,,,,
Franklin India Smaller Companies Fund - Direct - Growth,108.78681604502671,-2.94548601096049,88.45865506091894,-2.540874239458113,90.99952930037706,424.0,5.193762436591846,19.44881505604547,79.431743748769,,,,
UTI Mid Cap Fund-Growth Option- Direct,107.88618878349851,-2.94548601096049,87.75862667903615,-2.540874239458113,90.29950091849427,424.0,4.846239571097253,16.017191810994404,77.55438314028399,,,,
Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,107.3372070403356,-2.94548601096049,87.33171401332645,-2.540874239458113,89.87258825278457,424.0,0.3031914893616932,9.978017048003588,81.34010933327414,,,,
Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,107.3372070403356,-2.94548601096049,87.33171401332645,-2.540874239458113,89.87258825278457,424.0,0.3031914893616932,9.978017048003588,81.34010933327414,,,,
